filename,duration_ms,applesEaten,movements_count,duration_sec,failed
Player-1.json,78330,23,109,78.33,0
Player-2.json,45382,13,67,45.382,0
Player-3.json,41227,12,60,41.227,0
Player-4.json,14386,4,38,14.386,1
Player-5.json,44644,14,54,44.644,0
Player-6.json,5324,1,8,5.324,1
Player-7.json,68497,18,69,68.497,0
Player-8.json,38693,10,54,38.693,0
Player-9.json,22436,7,66,22.436,0
Player-10.json,269375,64,290,269.375,0
Player-11.json,126806,35,128,126.806,0
Player-12.json,37957,11,62,37.957,0
Player-13.json,26794,7,34,26.794,0
Player-14.json,8776,2,6,8.776,1
Player-15.json,5793,1,3,5.793,1
Player-16.json,59266,15,55,59.266,0
Player-17.json,14795,4,18,14.795,1
Player-18.json,112319,33,87,112.319,0
Player-19.json,9359,3,9,9.359,1
Player-20.json,57323,17,52,57.323,0
